Code,CDISC_Submission_Value,Codelist_Name,Codelist_Extensible,Assigned_Category,Confidence,Note
C182536,APCH115STR,Acute Physiology and Chronic Health Evaluation II Clinical Classification STRESC for APCH115 TN/TC,No,INSTRUMENT_ITEM_RESPONSE,HIGH,
C120985,APCH1TC,Acute Physiology and Chronic Health Evaluation II Clinical Classification Test Code,No,INSTRUMENT_TC_TN,HIGH,
C120984,APCH1TN,Acute Physiology and Chronic Health Evaluation II Clinical Classification Test Name,No,INSTRUMENT_TC_TN,HIGH,
C132311,ADTNQRS,Administration Technique Response,Yes,RESULT_VALUE_SET,MEDIUM,Extensible result value set — open-ended response taxonomy
C101807,AVL01TC,ADNI Auditory Verbal Learning Functional Test Test Code,No,INSTRUMENT_TC_TN,HIGH,
C101808,AVL01TN,ADNI Auditory Verbal Learning Functional Test Test Name,No,INSTRUMENT_TC_TN,HIGH,
C66781,AGEU,Age Unit,No,UNIT,HIGH,
C112435,AQ01TC,Airway Questionnaire 20 Questionnaire Test Code,No,INSTRUMENT_TC_TN,HIGH,
C112434,AQ01TN,Airway Questionnaire 20 Questionnaire Test Name,No,INSTRUMENT_TC_TN,HIGH,
C141655,AJCC1TC,AJCC TNM Staging System 7th Edition Clinical Classification Test Code,No,INSTRUMENT_TC_TN,HIGH,
C141654,AJCC1TN,AJCC TNM Staging System 7th Edition Clinical Classification Test Name,No,INSTRUMENT_TC_TN,HIGH,
C135012,AJCCGRD,AJCC Tumor Grade Response,No,RESULT_VALUE_SET,HIGH,
C119062,ADTC01TC,Alcohol Use Disorder Identification Test-Consumption Questions Questionnaire Test Code,No,INSTRUMENT_TC_TN,HIGH,
C119061,ADTC01TN,Alcohol Use Disorder Identification Test-Consumption Questions Questionnaire Test Name,No,INSTRUMENT_TC_TN,HIGH,
C119060,ADT01TC,Alcohol Use Disorder Identification Test: Self-Report Version Questionnaire Test Code,No,INSTRUMENT_TC_TN,HIGH,
C119059,ADT01TN,Alcohol Use Disorder Identification Test: Self-Report Version Questionnaire Test Name,No,INSTRUMENT_TC_TN,HIGH,
C161623,AVPU01TC,Alert Verbal Painful Unresponsive Scale Clinical Classification Test Code,No,INSTRUMENT_TC_TN,HIGH,
C161622,AVPU01TN,Alert Verbal Painful Unresponsive Scale Clinical Classification Test Name,No,INSTRUMENT_TC_TN,HIGH,
C100132,ADCTC,Alzheimer's Disease Assessment Scale - Cognitive CDISC Version Functional Test Test Code,No,INSTRUMENT_TC_TN,HIGH,
C100131,ADCTN,Alzheimer's Disease Assessment Scale - Cognitive CDISC Version Functional Test Test Name,No,INSTRUMENT_TC_TN,HIGH,
C213938,ADC1TC,Alzheimer's Disease Assessment Scale-Cognitive 30JUN2015 Functional Test Test Code,No,INSTRUMENT_TC_TN,HIGH,
C213937,ADC1TN,Alzheimer's Disease Assessment Scale-Cognitive 30JUN2015 Functional Test Test Name,No,INSTRUMENT_TC_TN,HIGH,
C106651,ADL03TC,Alzheimer's Disease Cooperative Study-Activities of Daily Living Inventory MCI Version Questionnaire Test Code,No,INSTRUMENT_TC_TN,HIGH,
C106650,ADL03TN,Alzheimer's Disease Cooperative Study-Activities of Daily Living Inventory MCI Version Questionnaire Test Name,No,INSTRUMENT_TC_TN,HIGH,
C105140,ADL01TC,Alzheimer's Disease Cooperative Study-Activities of Daily Living Inventory Questionnaire Test Code,No,INSTRUMENT_TC_TN,HIGH,
C105139,ADL01TN,Alzheimer's Disease Cooperative Study-Activities of Daily Living Inventory Questionnaire Test Name,No,INSTRUMENT_TC_TN,HIGH,
C106653,ADL02TC,Alzheimer's Disease Cooperative Study-Activities of Daily Living Inventory Severe Dementia Version Questionnaire Test Code,No,INSTRUMENT_TC_TN,HIGH,
C106652,ADL02TN,Alzheimer's Disease Cooperative Study-Activities of Daily Living Inventory Severe Dementia Version Questionnaire Test Name,No,INSTRUMENT_TC_TN,HIGH,
C103459,ACGC01TC,Alzheimer's Disease Cooperative Study-Clinical Global Impression of Change Questionnaire Test Code,No,INSTRUMENT_TC_TN,HIGH,
C103458,ACGC01TN,Alzheimer's Disease Cooperative Study-Clinical Global Impression of Change Questionnaire Test Name,No,INSTRUMENT_TC_TN,HIGH,
C74456,LOC,Anatomical Location,Yes,REFERENCE_VOCABULARY,HIGH,
C120521,AVOUTTRT,Anti-Viral Outcome of Treatment,Yes,RESULT_VALUE_SET,MEDIUM,"Domain-specific enumeration caught by pattern, not name-suffix"
C176047,APGR01TC,Apgar Score V1 Clinical Classification Test Code,No,INSTRUMENT_TC_TN,HIGH,
C176046,APGR01TN,Apgar Score V1 Clinical Classification Test Name,No,INSTRUMENT_TC_TN,HIGH,
C125741,ASEX01TC,Arizona Sexual Experiences Scale - Female Questionnaire Test Code,No,INSTRUMENT_TC_TN,HIGH,
C125740,ASEX01TN,Arizona Sexual Experiences Scale - Female Questionnaire Test Name,No,INSTRUMENT_TC_TN,HIGH,
C125743,ASEX02TC,Arizona Sexual Experiences Scale - Male Questionnaire Test Code,No,INSTRUMENT_TC_TN,HIGH,
C125742,ASEX02TN,Arizona Sexual Experiences Scale - Male Questionnaire Test Name,No,INSTRUMENT_TC_TN,HIGH,
C142179,ARMNULRS,Arm Null Reason,Yes,RESULT_VALUE_SET,MEDIUM,"Domain-specific enumeration caught by pattern, not name-suffix"
C124668,ASSG01TC,ASSIGN Cardiovascular Disease 10-Year Risk Score Clinical Classification Test Code,No,INSTRUMENT_TC_TN,HIGH,
C124667,ASSG01TN,ASSIGN Cardiovascular Disease 10-Year Risk Score Clinical Classification Test Name,No,INSTRUMENT_TC_TN,HIGH,
C163385,ADSD01TC,Asthma Daytime Symptom Diary v1.0 Questionnaire Test Code,No,INSTRUMENT_TC_TN,HIGH,
C163384,ADSD01TN,Asthma Daytime Symptom Diary v1.0 Questionnaire Test Name,No,INSTRUMENT_TC_TN,HIGH,
C132313,ASFATSCD,Asthma Findings About Test Code,Yes,MEASUREMENT_TEST_CODE,HIGH,
C132312,ASFATS,Asthma Findings About Test Name,Yes,MEASUREMENT_TEST_CODE,HIGH,
C163387,ANSD01TC,Asthma Nighttime Symptom Diary v1.0 Questionnaire Test Code,No,INSTRUMENT_TC_TN,HIGH,
C163386,ANSD01TN,Asthma Nighttime Symptom Diary v1.0 Questionnaire Test Name,No,INSTRUMENT_TC_TN,HIGH,
C124666,ASCVD1TC,Atherosclerotic Cardiovascular Disease 10-Year Risk Estimator Clinical Classification Test Code,No,INSTRUMENT_TC_TN,HIGH,
C124665,ASCVD1TN,Atherosclerotic Cardiovascular Disease 10-Year Risk Estimator Clinical Classification Test Name,No,INSTRUMENT_TC_TN,HIGH,
C182470,ATLAS101OR,ATLAS Clinical Classification ORRES for ATLAS101 TN/TC,No,INSTRUMENT_ITEM_RESPONSE,HIGH,
C182471,ATLAS102OR,ATLAS Clinical Classification ORRES for ATLAS102 TN/TC,No,INSTRUMENT_ITEM_RESPONSE,HIGH,
C182472,ATLAS103OR,ATLAS Clinical Classification ORRES for ATLAS103 TN/TC,No,INSTRUMENT_ITEM_RESPONSE,HIGH,
C182473,ATLAS104OR,ATLAS Clinical Classification ORRES for ATLAS104 TN/TC,No,INSTRUMENT_ITEM_RESPONSE,HIGH,
C182474,ATLAS105OR,ATLAS Clinical Classification ORRES for ATLAS105 TN/TC,No,INSTRUMENT_ITEM_RESPONSE,HIGH,
C182508,ATLAS101STR,ATLAS Clinical Classification STRESC for ATLAS101 TN/TC,No,INSTRUMENT_ITEM_RESPONSE,HIGH,
C182509,ATLAS102STR,ATLAS Clinical Classification STRESC for ATLAS102 TN/TC,No,INSTRUMENT_ITEM_RESPONSE,HIGH,
C182510,ATLAS103STR,ATLAS Clinical Classification STRESC for ATLAS103 TN/TC,No,INSTRUMENT_ITEM_RESPONSE,HIGH,
C182511,ATLAS104STR,ATLAS Clinical Classification STRESC for ATLAS104 TN/TC,No,INSTRUMENT_ITEM_RESPONSE,HIGH,
C182512,ATLAS105STR,ATLAS Clinical Classification STRESC for ATLAS105 TN/TC,No,INSTRUMENT_ITEM_RESPONSE,HIGH,
C147538,ATLAS1TC,ATLAS Clinical Classification Test Code,No,INSTRUMENT_TC_TN,HIGH,
C147537,ATLAS1TN,ATLAS Clinical Classification Test Name,No,INSTRUMENT_TC_TN,HIGH,
C190863,AUTESTCD,Auricular Findings Test Code,Yes,MEASUREMENT_TEST_CODE,HIGH,
C190862,AUTEST,Auricular Findings Test Name,Yes,MEASUREMENT_TEST_CODE,HIGH,
C135680,BEBQ01TC,Baby Eating Behaviour Questionnaire Concurrent Version Questionnaire Test Code,No,INSTRUMENT_TC_TN,HIGH,
C135679,BEBQ01TN,Baby Eating Behaviour Questionnaire Concurrent Version Questionnaire Test Name,No,INSTRUMENT_TC_TN,HIGH,
C135682,BEBQ02TC,Baby Eating Behaviour Questionnaire Retrospective Version Questionnaire Test Code,No,INSTRUMENT_TC_TN,HIGH,
C135681,BEBQ02TN,Baby Eating Behaviour Questionnaire Retrospective Version Questionnaire Test Name,No,INSTRUMENT_TC_TN,HIGH,
C101809,BARS01TC,Barnes Akathisia Rating Scale Clinical Classification Test Code,No,INSTRUMENT_TC_TN,HIGH,
C101810,BARS01TN,Barnes Akathisia Rating Scale Clinical Classification Test Name,No,INSTRUMENT_TC_TN,HIGH,
C106655,BDI01TC,Baseline Dyspnea Index Clinical Classification Test Code,No,INSTRUMENT_TC_TN,HIGH,
C106654,BDI01TN,Baseline Dyspnea Index Clinical Classification Test Name,No,INSTRUMENT_TC_TN,HIGH,
C181169,ISBDAGT,Binding Agent for Immunogenicity Tests,Yes,ASSAY_AND_PROCESS_METADATA,MEDIUM,"Binding agent for immunogenicity - assay configuration, not a result or test name per se"
C124300,BSTESTCD,Biospecimen Characteristics Test Code,Yes,MEASUREMENT_TEST_CODE,HIGH,
C124299,BSTEST,Biospecimen Characteristics Test Name,Yes,MEASUREMENT_TEST_CODE,HIGH,
C124297,BEDECOD,Biospecimen Events Dictionary Derived Term,Yes,MEASUREMENT_TEST_CODE,HIGH,
C113852,BLCS01TC,Bladder Control Scale Questionnaire Test Code,No,INSTRUMENT_TC_TN,HIGH,
C113851,BLCS01TN,Bladder Control Scale Questionnaire Test Name,No,INSTRUMENT_TC_TN,HIGH,
C113846,BCR101TC,Borg CR10 Scale Questionnaire Test Code,No,INSTRUMENT_TC_TN,HIGH,
C113845,BCR101TN,Borg CR10 Scale Questionnaire Test Name,No,INSTRUMENT_TC_TN,HIGH,
C113854,BWCS01TC,Bowel Control Scale Questionnaire Test Code,No,INSTRUMENT_TC_TN,HIGH,
C113853,BWCS01TN,Bowel Control Scale Questionnaire Test Name,No,INSTRUMENT_TC_TN,HIGH,
C125923,BRDGMOOD,BRIDG Activity Mood,Yes,RESULT_VALUE_SET,MEDIUM,"Domain-specific enumeration caught by pattern, not name-suffix"
C120983,BACS1TC,Brief Assessment of Cognition in Schizophrenia Functional Test Test Code,No,INSTRUMENT_TC_TN,HIGH,
C120982,BACS1TN,Brief Assessment of Cognition in Schizophrenia Functional Test Test Name,No,INSTRUMENT_TC_TN,HIGH,
C100162,BPI1TC,Brief Pain Inventory Questionnaire Test Code,No,INSTRUMENT_TC_TN,HIGH,
C100161,BPI1TN,Brief Pain Inventory Questionnaire Test Name,No,INSTRUMENT_TC_TN,HIGH,
C100164,BPI2TC,Brief Pain Inventory Short Form Questionnaire Test Code,No,INSTRUMENT_TC_TN,HIGH,
C100163,BPI2TN,Brief Pain Inventory Short Form Questionnaire Test Name,No,INSTRUMENT_TC_TN,HIGH,
C161625,BPRS01TC,Brief Psychiatric Rating Scale 1988 Version Clinical Classification Test Code,No,INSTRUMENT_TC_TN,HIGH,
C161624,BPRS01TN,Brief Psychiatric Rating Scale 1988 Version Clinical Classification Test Name,No,INSTRUMENT_TC_TN,HIGH,
C189693,BPRSA118OR,Brief Psychiatric Rating Scale-Anchored Clinical Classification ORRES for BPRSA118 TN/TC,No,INSTRUMENT_ITEM_RESPONSE,HIGH,
C189689,BPRSA1SET1OR,Brief Psychiatric Rating Scale-Anchored Clinical Classification ORRES the Same as BPRSA101 TN/TC,No,INSTRUMENT_ITEM_RESPONSE,HIGH,
C189691,BPRSA1SET2OR,Brief Psychiatric Rating Scale-Anchored Clinical Classification ORRES the Same as BPRSA103 TN/TC,No,INSTRUMENT_ITEM_RESPONSE,HIGH,
C189694,BPRSA118STR,Brief Psychiatric Rating Scale-Anchored Clinical Classification STRESC for BPRSA118 TN/TC,No,INSTRUMENT_ITEM_RESPONSE,HIGH,
C189690,BPRSA1SET1STR,Brief Psychiatric Rating Scale-Anchored Clinical Classification STRESC the Same as BPRSA101 TN/TC,No,INSTRUMENT_ITEM_RESPONSE,HIGH,
C189692,BPRSA1SET2STR,Brief Psychiatric Rating Scale-Anchored Clinical Classification STRESC the Same as BPRSA103 TN/TC,No,INSTRUMENT_ITEM_RESPONSE,HIGH,
C100134,BPRSA1TC,Brief Psychiatric Rating Scale-Anchored Clinical Classification Test Code,No,INSTRUMENT_TC_TN,HIGH,
C100133,BPRSA1TN,Brief Psychiatric Rating Scale-Anchored Clinical Classification Test Name,No,INSTRUMENT_TC_TN,HIGH,
C130239,BUERS1TC,Brooke Upper Extremity Rating Scale Clinical Classification Test Code,No,INSTRUMENT_TC_TN,HIGH,
C130238,BUERS1TN,Brooke Upper Extremity Rating Scale Clinical Classification Test Name,No,INSTRUMENT_TC_TN,HIGH,
C199499,CCSGA1TC,Canadian Cardiovascular Society Grading of Angina Pectoris Clinical Classification Test Code,No,INSTRUMENT_TC_TN,HIGH,
C199498,CCSGA1TN,Canadian Cardiovascular Society Grading of Angina Pectoris Clinical Classification Test Name,No,INSTRUMENT_TC_TN,HIGH,
C199510,CCSGA101OR,Canadian Cardiovascular Society Grading Scale of Angina Pectoris Clinical Classification ORRES for CCSGA101 TN/TC,No,INSTRUMENT_ITEM_RESPONSE,HIGH,
C199511,CCSGA101STR,Canadian Cardiovascular Society Grading Scale of Angina Pectoris Clinical Classification STRESC for CCSGA101 TN/TC,No,INSTRUMENT_ITEM_RESPONSE,HIGH,
C101859,CVPRCIND,Cardiac Procedure Indication,Yes,REFERENCE_VOCABULARY,HIGH,
C101866,CRYDFMAN,Cardiac Rhythm Device Failure Manifestation,Yes,RESULT_VALUE_SET,MEDIUM,"Domain-specific enumeration caught by pattern, not name-suffix"
C119016,CVFARS,Cardiovascular Findings About Results,Yes,RESULT_VALUE_SET,MEDIUM,Extensible result value set — open-ended response taxonomy
C119015,CVFATSCD,Cardiovascular Findings About Test Code,Yes,MEASUREMENT_TEST_CODE,HIGH,
C119014,CVFATS,Cardiovascular Findings About Test Name,Yes,MEASUREMENT_TEST_CODE,HIGH,
C101847,CVTESTCD,Cardiovascular Test Code,Yes,MEASUREMENT_TEST_CODE,HIGH,
C101846,CVTEST,Cardiovascular Test Name,Yes,MEASUREMENT_TEST_CODE,HIGH,
C127263,CASEFIND,Case Finding,Yes,ADMINISTRATION_LOGISTICS,HIGH,
C181171,CPCAT,Category for Cell Phenotyping,Yes,DOMAIN_GROUPING,HIGH,
C118971,CCCAT,Category of Clinical Classification,Yes,RESULT_VALUE_SET,MEDIUM,Extensible result value set — open-ended response taxonomy
C111109,DECAT,Category of Device Events,Yes,DOMAIN_GROUPING,HIGH,
C74558,DSCAT,Category of Disposition Event,No,DOMAIN_GROUPING,HIGH,
C115304,FTCAT,Category of Functional Test,Yes,DOMAIN_GROUPING,HIGH,
C66797,IECAT,Category of Inclusion/Exclusion,No,DOMAIN_GROUPING,HIGH,
C204424,IQCAT,Category of Ingredient Quantities by Component,Yes,DOMAIN_GROUPING,HIGH,
C124298,ONCRSCAT,Category of Oncology Response Assessment,Yes,DOMAIN_GROUPING,HIGH,
C100129,QSCAT,Category of Questionnaire,Yes,DOMAIN_GROUPING,HIGH,
C204429,PTCAT,Category of Tobacco Product Testing,Yes,DOMAIN_GROUPING,HIGH,
C204434,TOCAT,Category of Tobacco Products,Yes,DOMAIN_GROUPING,HIGH,
C150812,CDFATSCD,CDAD Findings About Test Code,Yes,MEASUREMENT_TEST_CODE,HIGH,
C150813,CDFATS,CDAD Findings About Test Name,Yes,MEASUREMENT_TEST_CODE,HIGH,
C124678,CHIVC1TC,CDC Classification System for HIV-Infected Adults and Adolescents Clinical Classification Test Code,No,INSTRUMENT_TC_TN,HIGH,
C124677,CHIVC1TN,CDC Classification System for HIV-Infected Adults and Adolescents Clinical Classification Test Name,No,INSTRUMENT_TC_TN,HIGH,
C160925,CTAUGRS,CDISC Therapeutic Area User Guide Response,Yes,RESULT_VALUE_SET,MEDIUM,Extensible result value set — open-ended response taxonomy
C181173,CPTESTCD,Cell Phenotyping Test Code,Yes,MEASUREMENT_TEST_CODE,HIGH,
C181174,CPTEST,Cell Phenotyping Test Name,Yes,MEASUREMENT_TEST_CODE,HIGH,
C181172,CELSTATE,Cell State Response,Yes,RESULT_VALUE_SET,MEDIUM,Extensible result value set — open-ended response taxonomy
C208383,CPS0101OR,Child-Pugh Classification Clinical Classification ORRES for CPS0101 TN/TC,No,INSTRUMENT_ITEM_RESPONSE,HIGH,
C208384,CPS0102OR,Child-Pugh Classification Clinical Classification ORRES for CPS0102 TN/TC,No,INSTRUMENT_ITEM_RESPONSE,HIGH,
C208385,CPS0103OR,Child-Pugh Classification Clinical Classification ORRES for CPS0103 TN/TC,No,INSTRUMENT_ITEM_RESPONSE,HIGH,
C208386,CPS0104OR,Child-Pugh Classification Clinical Classification ORRES for CPS0104 TN/TC,No,INSTRUMENT_ITEM_RESPONSE,HIGH,
C208387,CPS0105AOR,Child-Pugh Classification Clinical Classification ORRES for CPS0105A TN/TC,No,INSTRUMENT_ITEM_RESPONSE,HIGH,
C208388,CPS0105BOR,Child-Pugh Classification Clinical Classification ORRES for CPS0105B TN/TC,No,INSTRUMENT_ITEM_RESPONSE,HIGH,
C208389,CPS0107OR,Child-Pugh Classification Clinical Classification ORRES for CPS0107 TN/TC,No,INSTRUMENT_ITEM_RESPONSE,HIGH,
C208390,CPS0101STR,Child-Pugh Classification Clinical Classification STRESC for CPS0101 TN/TC,No,INSTRUMENT_ITEM_RESPONSE,HIGH,
C208391,CPS0102STR,Child-Pugh Classification Clinical Classification STRESC for CPS0102 TN/TC,No,INSTRUMENT_ITEM_RESPONSE,HIGH,
C208392,CPS0103STR,Child-Pugh Classification Clinical Classification STRESC for CPS0103 TN/TC,No,INSTRUMENT_ITEM_RESPONSE,HIGH,
C208393,CPS0104STR,Child-Pugh Classification Clinical Classification STRESC for CPS0104 TN/TC,No,INSTRUMENT_ITEM_RESPONSE,HIGH,
C208394,CPS0105ASTR,Child-Pugh Classification Clinical Classification STRESC for CPS0105A TN/TC,No,INSTRUMENT_ITEM_RESPONSE,HIGH,
C208395,CPS0105BSTR,Child-Pugh Classification Clinical Classification STRESC for CPS0105B TN/TC,No,INSTRUMENT_ITEM_RESPONSE,HIGH,
C208396,CPS0107STR,Child-Pugh Classification Clinical Classification STRESC for CPS0107 TN/TC,No,INSTRUMENT_ITEM_RESPONSE,HIGH,
C120989,CPS01TC,Child-Pugh Classification Clinical Classification Test Code,No,INSTRUMENT_TC_TN,HIGH,
C120988,CPS01TN,Child-Pugh Classification Clinical Classification Test Name,No,INSTRUMENT_TC_TN,HIGH,
C154447,CDRS1TC,"Children's Depression Rating Scale, Revised Clinical Classification Test Code",No,INSTRUMENT_TC_TN,HIGH,
C154446,CDRS1TN,"Children's Depression Rating Scale, Revised Clinical Classification Test Name",No,INSTRUMENT_TC_TN,HIGH,
C120979,CRQ01TC,Chronic Respiratory Questionnaire Self-Administered Standardized Format First Administration Version Questionnaire Test Code,No,INSTRUMENT_TC_TN,HIGH,
